"Date","Price","Open","High","Low","Change %"
"Jan 29, 2009","12.112","12.112","12.112","12.112","-0.16%"
"Jan 28, 2009","12.131","12.131","12.131","12.131","-0.07%"
"Jan 27, 2009","12.140","12.140","12.140","12.140","-0.08%"
"Jan 26, 2009","12.150","12.150","12.150","12.150","-0.16%"
"Jan 22, 2009","12.169","12.169","12.169","12.169","-0.31%"
"Jan 21, 2009","12.207","12.207","12.207","12.207","0.48%"
"Jan 20, 2009","12.149","12.149","12.149","12.149","0.25%"
"Jan 16, 2009","12.119","12.119","12.119","12.119","-0.08%"
"Jan 15, 2009","12.129","12.129","12.129","12.129","0.08%"
"Jan 14, 2009","12.119","12.119","12.119","12.119","1.28%"
"Jan 13, 2009","11.966","11.966","11.966","11.966","0.64%"
"Jan 12, 2009","11.890","11.890","11.890","11.890","-1.02%"
"Jan 08, 2009","12.013","12.013","12.013","12.013","-0.39%"
"Jan 07, 2009","12.060","12.060","12.060","12.060","-0.40%"
"Jan 06, 2009","12.108","12.108","12.108","12.108","-0.07%"
"Jan 05, 2009","12.117","12.117","12.117","12.117","-1.17%"
"Dec 23, 2008","12.260","12.260","12.260","12.260","-1.17%"
"Dec 18, 2008","12.405","12.405","12.405","12.405","-0.07%"
"Dec 15, 2008","12.414","12.414","12.414","12.414","1.43%"
"Dec 12, 2008","12.239","12.239","12.239","12.239","1.51%"
"Dec 01, 2008","12.057","12.057","12.057","12.057","-0.31%"
"Nov 27, 2008","12.094","12.094","12.094","12.094","0.32%"
"Nov 26, 2008","12.056","12.056","12.056","12.056","0.08%"
"Nov 25, 2008","12.046","12.046","12.046","12.046","-0.23%"
"Nov 24, 2008","12.074","12.074","12.074","12.074","-0.15%"
"Nov 21, 2008","12.092","12.092","12.092","12.092","0.25%"
"Nov 17, 2008","12.062","12.062","12.062","12.062","0.01%"
"Nov 14, 2008","12.061","12.061","12.061","12.061","-0.07%"
"Nov 13, 2008","12.070","12.070","12.070","12.070","0.32%"
"Nov 12, 2008","12.031","12.031","12.031","12.031","0.00%"
"Nov 11, 2008","12.031","12.031","12.031","12.031","-0.23%"
"Nov 07, 2008","12.059","12.059","12.059","12.059","-0.07%"
"Nov 06, 2008","12.068","12.068","12.068","12.068","-1.93%"
"Nov 05, 2008","12.306","12.306","12.306","12.306","0.48%"
"Nov 04, 2008","12.247","12.247","12.247","12.247","0.00%"
"Nov 03, 2008","12.247","12.247","12.247","12.247","0.02%"
"Oct 23, 2008","12.244","12.244","12.244","12.244","-0.38%"
"Oct 22, 2008","12.291","12.291","12.291","12.291","0.74%"
"Oct 10, 2008","12.201","12.201","12.201","12.201","-1.39%"
"Oct 08, 2008","12.373","12.373","12.373","12.373","-1.28%"
"Sep 25, 2008","12.534","12.534","12.534","12.534","-0.14%"
"Sep 24, 2008","12.552","12.552","12.552","12.552","-1.99%"
"Sep 18, 2008","12.807","12.807","12.807","12.807","-0.61%"
"Sep 17, 2008","12.886","12.886","12.886","12.886","19.27%"
"Sep 16, 2008","10.804","10.804","10.804","10.804","-15.95%"
"Sep 15, 2008","12.855","12.855","12.855","12.855","-0.23%"
"Sep 12, 2008","12.885","12.885","12.885","12.885","-0.06%"
"Sep 09, 2008","12.893","12.893","12.893","12.893","0.08%"
"Sep 08, 2008","12.883","12.883","12.883","12.883","0.40%"
"Sep 04, 2008","12.832","12.832","12.832","12.832","0.40%"
"Sep 01, 2008","12.781","12.781","12.781","12.781","-0.68%"
"Aug 27, 2008","12.869","12.869","12.869","12.869","0.78%"
"Aug 26, 2008","12.769","12.769","12.769","12.769","-0.30%"
"Aug 25, 2008","12.808","12.808","12.808","12.808","0.08%"
"Aug 21, 2008","12.798","12.798","12.798","12.798","0.01%"
